eleccion_id;anio;vuelta;tipo;candidato;Tarapacá;Arica y Parinacota;Antofagasta;Atacama;Coquimbo;Valparaíso;RM;O´Higgins;Maule;Ñuble;Biobío;Araucanía;Los Ríos;Los Lagos;Aysén;Magallanes;votos_candidato_limpio;fuente_total_usado;factor_duplicacion_detectado;total_columna;suma_regiones;razon_total_suma_regiones;nulos_total_eleccion;blancos_total_eleccion;nulos_total_original;blancos_total_original;observacion_total
2013_2;2013;2;Segunda vuelta;Michelle Bachelet;36343;32984;81241;55119;155340;366502;1297597;209873;257831;;464898;196492;89002;172232;20924;34001;3470379;total_columna;1;3470379;3470379;1.0;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Aeljandro Guiller;20321;18644;43591;26440;68663;151292;590687;81673;97554;;178440;76392;40280;72752;10671;14073;1498040;total_columna;1;1498040;1491473;1.004403029756489;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Alejandro Navarro;237;324;448;280;747;1556;5898;942;1295;;8958;1375;493;1029;129;118;23968;total_columna;1;23968;23829;1.0058332284191531;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Beatriz Sánchez;20519;17151;39070;18462;47828;185007;615307;63654;60080;;126774;45878;24221;48881;5861;13757;1338037;total_columna;1;1338037;1332450;1.0041930278809712;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Carolina Goic;3462;2935;6805;3673;16207;37078;149742;22564;26640;;49611;24065;10078;23148;3333;7057;387784;total_columna;1;387784;386398;1.0035869750878628;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Eduardo Artés;425;260;731;508;1286;3629;14693;1598;1973;;3852;1671;791;1578;189;259;33665;total_columna;1;33665;33443;1.0066381604521126;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;José Antonio Kast;8800;8302;14365;4003;11638;52963;181621;19829;30941;;88597;46355;15806;30220;2892;5813;523375;total_columna;1;523375;522145;1.0023556674870007;;;;;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;ME-O;6365;4671;11961;5070;13134;37171;168643;19184;23367;;41387;18133;6923;15087;1622;3444;376871;total_columna;1;376871;376162;1.001884826218491;64504;38543;64504;38543;"Total original consistente con suma regional; se conserva."
2017_1;2017;1;Primera vuelta;Sebastián Piñera;35098;21597;61089;41129;93685;247550;976303;138709;160268;;295920;151935;54166;105419;12719;15730;2418540;total_columna;1;2418540;2411317;1.0029954584984055;;;;;"Total original consistente con suma regional; se conserva."
2017_2;2017;2;Segunda vuelta;Alejandro Guiller;38106;34950;83298;45310;129443;354317;1319878;166227;188625;;357910;151771;75715;149226;19512;33580;3160628;total_columna;1;3160628;3147868;1.0040535371877093;;;;;"Total original consistente con suma regional; se conserva."
2017_2;2017;2;Segunda vuelta;Sebastián Piñera;54379;35546;97095;56618;134683;387231;1497236;212232;253207;;505103;251855;86865;172359;18185;26047;3796918;total_columna;1;3796918;3788641;1.0021846883882637;56440;18892;56440;18892;"Total original consistente con suma regional; se conserva."
2021_1;2021;1;Primera vuelta;Eduardo Artés;1343;983;2551;1309;3735;13223;51045;4063;3756;1699;7213;4069;2044;4013;508;655;102209;suma_regiones;2;205794;102209;2.013462610924674;;;;;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;Franco Parisi;29906;24296;68473;25443;52426;103996;220716;52409;55047;24162;112004;46934;20932;48430;5153;8740;899067;suma_regiones;2;1800128;899067;2.002217854731627;;;;;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;Gabriel Boric;19975;15077;41487;20418;68203;223384;892593;87861;78918;31702;117325;65297;36980;66520;9975;21136;1796851;suma_regiones;2;3630048;1796851;2.020227609300938;55480;30493;110960;60986;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;José Antonio Kast;33273;25120;42299;19017;56998;211904;721457;92349;127027;69937;199475;166017;52919;105763;11761;19291;1954607;suma_regiones;2;3923558;1954607;2.0073385596183786;;;;;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;ME-O;6874;4703;14395;5295;18795;63842;256723;28306;27453;10491;39976;21824;8681;17539;2017;6640;533554;suma_regiones;2;1068766;533554;2.0031074642866513;;;;;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;Sebastián Sichel;8354;6194;14729;7097;27404;95658;440052;50330;54919;24616;63009;40957;16287;35552;3921;5759;894838;suma_regiones;2;1797270;894838;2.008486452296393;;;;;"Total original parece duplicado; se usa suma regional."
2021_1;2021;1;Primera vuelta;Yasna Provoste;9441;8423;17542;27501;35992;81855;294990;48274;56257;28358;72905;48731;21780;47930;6574;6854;813407;suma_regiones;2;1631126;813407;2.005301159198286;;;;;"Total original parece duplicado; se usa suma regional."
2021_2;2021;2;Segunda vuelta;Gabriel Boric;55477;44236;128009;76194;199259;544874;2063981;251585;240115;96835;350671;184417;95290;191931;25870;47835;4596579;suma_regiones;2;9242462;4596579;2.010726237926075;68616;23972;137232;47944;"Total original parece duplicado; se usa suma regional."
2021_2;2021;2;Segunda vuelta;José Antonio Kast;58485;43173;86097;40235;115610;374058;1357326;187217;250421;136784;377474;278293;93514;191591;20111;30217;3640606;suma_regiones;2;7301324;3640606;2.005524355011226;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Eduardo Artés;1116;874;2106;1103;3271;9677;37888;3843;3710;2006;7458;4662;2057;3943;458;695;84867;suma_regiones;2;170784;84867;2.012372300187352;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Evelyn Matthei;14310;10105;29443;12770;56437;165236;821876;82768;79690;38066;114016;69011;30042;64453;7018;11784;1607025;suma_regiones;2;3235440;1607025;2.013310309422691;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Franco Parisi;64165;41996;138278;65949;149396;271022;712720;159709;183607;86747;294839;154474;61322;140907;11557;19170;2555858;suma_regiones;2;5115474;2555858;2.0014703477266735;361403;141989;722806;283978;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Harold Mayne-Nichols;2359;1452;5475;2004;6289;19315;72883;8185;7715;3424;12469;7386;3473;7288;719;1768;162204;suma_regiones;2;326210;162204;2.011109467090824;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Jeannette Jara;45297;34346;92110;53457;153843;410666;1556040;178477;179029;74512;259422;147282;73871;142719;19040;33616;3453727;suma_regiones;2;6966980;3453727;2.017235293930296;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;Johannes Kaiser;30010;27284;51556;26593;76985;214143;642526;101129;113150;59269;155910;115519;47386;104352;14140;19739;1799691;suma_regiones;2;3616868;1799691;2.009716112377069;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;José Antonio Kast;46609;33064;71074;38009;106700;281859;1090443;186243;253046;123894;318432;244577;81293;174962;16069;27426;3093700;suma_regiones;2;6208916;3093700;2.0069547790671365;;;;;"Total original parece duplicado; se usa suma regional."
2025_1;2025;1;Primera vuelta;ME-O;2225;1735;4465;2339;6695;18191;62419;9063;9159;3966;12717;8191;3177;6848;802;2177;154169;suma_regiones;2;309396;154169;2.0068625988363418;;;;;"Total original parece duplicado; se usa suma regional."
2025_2;2025;2;Segunda vuelta;Jeannette Jara;73799;53450;157620;86441;243829;612913;2260954;277058;272609;114489;405947;226252;108949;216347;27294;50253;5188204;suma_regiones;2;10445116;5188204;2.01324311842788;783816;165344;1567632;330688;"Total original parece duplicado; se usa suma regional."
2025_2;2025;2;Segunda vuelta;José Antonio Kast;120980;90490;207249;103578;288093;724523;2571728;424709;531076;265400;716795;501789;183630;406393;40826;62145;7239404;suma_regiones;2;14526472;7239404;2.0065839674094716;;;;;"Total original parece duplicado; se usa suma regional."
