eleccion_id,anio,vuelta,region_codigo,region,region_fuente,division_regional,nulos,blancos,nulos_blancos,votos_emitidos,pct_nulos_blancos,nota_limite_regional
2005_1,2005,1,3,Atacama,DE ATACAMA,13 regiones,2590,1552,4142,114146,3.628686,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,4,Coquimbo,DE COQUIMBO,13 regiones,6816,4549,11365,275153,4.130429,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,5,Valparaíso,DE VALPARAISO,13 regiones,22330,8959,31289,802900,3.896998,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,6,O’Higgins,DEL LIBERTADOR BDO. O'HIGGINS,13 regiones,9984,5936,15920,407474,3.906998,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,7,Maule,DEL MAULE,13 regiones,12402,6202,18604,469216,3.964912,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,8,Biobío,DEL BIOBIO,13 regiones,24128,11542,35670,935238,3.814002,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,9,La Araucanía,DE LA ARAUCANIA,13 regiones,10357,5051,15408,416006,3.703793,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,10,Los Lagos,DE LOS LAGOS,13 regiones,11661,8126,19787,512936,3.857596,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,11,Aysén,AISEN DEL GRAL. CARLOS IBAÐEZ,13 regiones,831,519,1350,42217,3.197764,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,12,Magallanes,DE MAGALLANES Y ANTARTICA CH.,13 regiones,2023,866,2889,72234,3.999502,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_1,2005,1,13,Metropolitana,METROPOLITANA DE SANTIAGO,13 regiones,66417,27541,93958,2776806,3.383672,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,1,Tarapacá,DE TARAPACA,13 regiones,4682,1315,5997,177018,3.387791,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,2,Antofagasta,DE ANTOFAGASTA,13 regiones,5147,1259,6406,195784,3.271973,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,3,Atacama,DE ATACAMA,13 regiones,2481,1001,3482,113415,3.070141,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,4,Coquimbo,DE COQUIMBO,13 regiones,5779,2530,8309,275454,3.016475,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,5,Valparaíso,DE VALPARAISO,13 regiones,19957,5870,25827,799602,3.229982,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,6,O’Higgins,DEL LIBERTADOR BDO. O'HIGGINS,13 regiones,8282,2856,11138,406534,2.739746,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,7,Maule,DEL MAULE,13 regiones,8275,3063,11338,469921,2.412746,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,8,Biobío,DEL BIOBIO,13 regiones,17966,5664,23630,934484,2.528668,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,9,La Araucanía,DE LA ARAUCANIA,13 regiones,7366,2591,9957,418180,2.381032,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,10,Los Lagos,DE LOS LAGOS,13 regiones,8434,3851,12285,512786,2.395736,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,11,Aysén,AISEN DEL GRAL. CARLOS IBAÐEZ,13 regiones,608,308,916,41184,2.224165,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,12,Magallanes,DE MAGALLANES Y ANTARTICA CH.,13 regiones,1662,423,2085,67814,3.074586,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2005_2,2005,2,13,Metropolitana,METROPOLITANA DE SANTIAGO,13 regiones,64333,17229,81562,2750169,2.965709,División regional histórica de 13 regiones: Tarapacá incluye actual Arica y Parinacota; Los Lagos incluye actual Los Ríos; Biobío incluye actual Ñuble.
2009_1,2009,1,1,Tarapacá,DE TARAPACA,15 regiones,2600,1016,3616,100653,3.592541,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,2,Antofagasta,DE ANTOFAGASTA,15 regiones,7259,2063,9322,198837,4.688262,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,3,Atacama,DE ATACAMA,15 regiones,3221,1629,4850,114601,4.232075,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,4,Coquimbo,DE COQUIMBO,15 regiones,6817,4094,10911,277634,3.929994,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,5,Valparaíso,DE VALPARAISO,15 regiones,24584,9479,34063,817412,4.167176,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,6,O’Higgins,DEL LIBERTADOR BDO. OHIGGINS,15 regiones,10362,5377,15739,414661,3.795631,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,7,Maule,DEL MAULE,15 regiones,12326,6656,18982,473396,4.009751,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,8,Biobío,DEL BIO BIO,15 regiones,26732,11321,38053,939653,4.049686,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,9,La Araucanía,DE LA ARAUCANIA,15 regiones,11246,5687,16933,421272,4.019493,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,10,Los Lagos,DE LOS LAGOS,15 regiones,7909,5444,13353,347524,3.842325,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,11,Aysén,AISEN DEL GRAL. CARLOS IBAÑEZ,15 regiones,855,576,1431,43734,3.272054,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,12,Magallanes,DE MAGALLANES Y ANTARTICA CH.,15 regiones,1988,968,2956,72144,4.097361,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,13,Metropolitana,METROPOLITANA DE SANTIAGO,15 regiones,77328,28855,106183,2785565,3.811902,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,14,Los Ríos,DE LOS RIOS,15 regiones,3716,2011,5727,174500,3.281948,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_1,2009,1,15,Arica y Parinacota,ARICA Y PARINACOTA,15 regiones,3477,996,4473,82550,5.418534,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_2,2009,2,1,Tarapacá,DE TARAPACA,15 regiones,3251,935,4186,97719,4.283711,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_2,2009,2,2,Antofagasta,DE ANTOFAGASTA,15 regiones,7548,1536,9084,190514,4.768154,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_2,2009,2,3,Atacama,DE ATACAMA,15 regiones,3261,978,4239,113204,3.744567,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_2,2009,2,4,Coquimbo,DE COQUIMBO,15 regiones,6998,2599,9597,278442,3.446678,División regional de 15 regiones: Biobío incluye actual Ñuble.
2009_2,2009,2,5,Valparaíso,DE VALPARAISO,15 regiones,23940,6338,30278,812512,3.726468,División regional de 15 regiones: Biobío incluye actual Ñuble.
